Date,Open,High,Low,Close,Volume
05-Dec-20,0.27,0.29,0.26,0.28,61824638
04-Dec-20,0.28,0.31,0.27,0.27,91291472
03-Dec-20,0.28,0.29,0.28,0.28,64447485
02-Dec-20,0.26,0.29,0.25,0.28,84468138
01-Dec-20,0.28,0.29,0.26,0.26,85415707
30-Nov-20,0.27,0.28,0.26,0.27,77738905
29-Nov-20,0.26,0.27,0.25,0.27,49784411
28-Nov-20,0.25,0.27,0.25,0.26,57949923
27-Nov-20,0.25,0.27,0.24,0.25,67549353
26-Nov-20,0.29,0.3,0.24,0.25,171058111
25-Nov-20,0.3,0.35,0.28,0.29,186652583
24-Nov-20,0.28,0.32,0.28,0.3,189598267
23-Nov-20,0.25,0.29,0.25,0.28,104202259
22-Nov-20,0.27,0.27,0.24,0.25,88151616
21-Nov-20,0.24,0.27,0.24,0.27,105031824
20-Nov-20,0.22,0.24,0.22,0.24,53842569
19-Nov-20,0.23,0.23,0.22,0.22,34910432
18-Nov-20,0.23,0.23,0.22,0.23,60622597
17-Nov-20,0.23,0.23,0.23,0.23,46150758
16-Nov-20,0.22,0.23,0.21,0.23,51652727
15-Nov-20,0.22,0.23,0.21,0.22,48867336
14-Nov-20,0.24,0.24,0.22,0.22,39836365
13-Nov-20,0.22,0.24,0.22,0.24,43578044
12-Nov-20,0.24,0.24,0.22,0.23,34651039
11-Nov-20,0.24,0.25,0.23,0.24,44258798
10-Nov-20,0.22,0.25,0.22,0.24,56132491
09-Nov-20,0.22,0.23,0.21,0.22,37275224
08-Nov-20,0.22,0.23,0.21,0.22,35776212
07-Nov-20,0.23,0.25,0.21,0.22,78525175
06-Nov-20,0.21,0.24,0.21,0.23,45133490
05-Nov-20,0.2,0.22,0.2,0.21,40371340
04-Nov-20,0.2,0.21,0.19,0.2,58194857
03-Nov-20,0.21,0.21,0.19,0.2,52415967
02-Nov-20,0.22,0.22,0.21,0.21,51520491
01-Nov-20,0.21,0.22,0.21,0.22,50518915
31-Oct-20,0.22,0.23,0.21,0.21,56239836
30-Oct-20,0.22,0.22,0.2,0.22,85501428
29-Oct-20,0.24,0.24,0.22,0.22,69863196
28-Oct-20,0.24,0.25,0.23,0.24,79129582
27-Oct-20,0.25,0.25,0.24,0.24,69387942
26-Oct-20,0.26,0.26,0.24,0.25,69201608
25-Oct-20,0.26,0.26,0.25,0.26,57558278
24-Oct-20,0.26,0.26,0.26,0.26,56490771
23-Oct-20,0.27,0.27,0.26,0.26,67891653
22-Oct-20,0.25,0.27,0.25,0.27,67891904
21-Oct-20,0.24,0.26,0.24,0.25,51317558
20-Oct-20,0.26,0.26,0.24,0.24,63141616
19-Oct-20,0.27,0.27,0.26,0.26,92545760
18-Oct-20,0.27,0.27,0.26,0.27,88296587
17-Oct-20,0.26,0.27,0.26,0.27,66249279
16-Oct-20,0.27,0.27,0.25,0.26,102107403
15-Oct-20,0.28,0.28,0.26,0.27,88334939
14-Oct-20,0.29,0.3,0.27,0.28,146225548
13-Oct-20,0.29,0.3,0.28,0.29,146038040
12-Oct-20,0.28,0.31,0.28,0.29,174725233
11-Oct-20,0.27,0.29,0.27,0.28,127291596
10-Oct-20,0.28,0.29,0.27,0.27,126050304
09-Oct-20,0.26,0.28,0.26,0.28,129734383
08-Oct-20,0.26,0.27,0.25,0.26,125415448
07-Oct-20,0.24,0.26,0.24,0.26,131010022
