Date,Open,High,Low,Close,Volume
12-Jan-21,0.08,0.08,0.07,0.08,60911
11-Jan-21,0.08,0.08,0.07,0.08,97178
10-Jan-21,0.09,0.09,0.08,0.08,216908
09-Jan-21,0.08,0.09,0.08,0.09,2183904
08-Jan-21,0.08,0.09,0.07,0.08,123926
07-Jan-21,0.08,0.08,0.08,0.08,157993
06-Jan-21,0.08,0.08,0.07,0.08,175617
05-Jan-21,0.07,0.08,0.07,0.08,3202848
04-Jan-21,0.07,0.07,0.07,0.07,154530
03-Jan-21,0.08,0.08,0.07,0.07,194127
02-Jan-21,0.08,0.08,0.07,0.07,85335
01-Jan-21,0.07,0.08,0.07,0.08,4520
31-Dec-20,0.08,0.08,0.07,0.07,64281
30-Dec-20,0.08,0.08,0.07,0.08,44423
29-Dec-20,0.08,0.08,0.07,0.08,73162
28-Dec-20,0.08,0.08,0.07,0.08,45514
27-Dec-20,0.08,0.08,0.07,0.08,1580874
26-Dec-20,0.08,0.08,0.07,0.08,567516
25-Dec-20,0.08,0.08,0.08,0.08,1483837
24-Dec-20,0.07,0.08,0.07,0.08,2762112
23-Dec-20,0.08,0.08,0.07,0.07,997845
22-Dec-20,0.08,0.08,0.08,0.08,59633
21-Dec-20,0.08,0.09,0.08,0.08,1040245
20-Dec-20,0.08,0.09,0.08,0.08,80263
19-Dec-20,0.08,0.09,0.08,0.08,95152
18-Dec-20,0.08,0.08,0.08,0.08,883098
17-Dec-20,0.08,0.08,0.07,0.08,69703
16-Dec-20,0.08,0.08,0.08,0.08,467098
15-Dec-20,0.08,0.08,0.08,0.08,337151
14-Dec-20,0.08,0.08,0.08,0.08,329382
13-Dec-20,0.08,0.08,0.08,0.08,486999
12-Dec-20,0.08,0.08,0.08,0.08,407393
11-Dec-20,0.08,0.08,0.07,0.08,338300
10-Dec-20,0.08,0.08,0.08,0.08,461165
09-Dec-20,0.08,0.08,0.08,0.08,636346
08-Dec-20,0.09,0.09,0.08,0.08,1038503
07-Dec-20,0.08,0.09,0.08,0.09,1188106
06-Dec-20,0.08,0.08,0.08,0.08,332848
05-Dec-20,0.08,0.08,0.08,0.08,582068
04-Dec-20,0.09,0.09,0.08,0.08,856013
03-Dec-20,0.09,0.09,0.08,0.09,1047472
02-Dec-20,0.08,0.09,0.08,0.09,2230629
01-Dec-20,0.08,0.08,0.08,0.08,1749911
30-Nov-20,0.08,0.08,0.08,0.08,478013
29-Nov-20,0.08,0.08,0.08,0.08,347865
28-Nov-20,0.08,0.08,0.08,0.08,505654
27-Nov-20,0.08,0.08,0.07,0.08,591837
26-Nov-20,0.09,0.09,0.08,0.08,1951206
25-Nov-20,0.08,0.09,0.08,0.09,2293296
24-Nov-20,0.08,0.09,0.08,0.08,2146475
23-Nov-20,0.08,0.08,0.08,0.08,764816
22-Nov-20,0.08,0.08,0.08,0.08,1049599
21-Nov-20,0.08,0.08,0.08,0.08,1336006
20-Nov-20,0.08,0.08,0.08,0.08,257978
19-Nov-20,0.08,0.08,0.07,0.08,256640
18-Nov-20,0.08,0.08,0.07,0.08,459245
17-Nov-20,0.08,0.08,0.08,0.08,329475
16-Nov-20,0.08,0.08,0.08,0.08,247513
15-Nov-20,0.08,0.08,0.08,0.08,48602
14-Nov-20,0.08,0.08,0.08,0.08,446229
13-Nov-20,0.08,0.08,0.08,0.08,60327
12-Nov-20,0.08,0.08,0.07,0.08,457697
11-Nov-20,0.08,0.08,0.08,0.08,791114
10-Nov-20,0.08,0.08,0.07,0.08,1141708
09-Nov-20,0.08,0.08,0.07,0.07,563419
08-Nov-20,0.07,0.08,0.07,0.08,229588
07-Nov-20,0.08,0.08,0.07,0.07,766107
06-Nov-20,0.07,0.08,0.07,0.08,1690284
05-Nov-20,0.07,0.07,0.07,0.07,191236
04-Nov-20,0.07,0.07,0.07,0.07,140490
03-Nov-20,0.08,0.08,0.07,0.07,160522
02-Nov-20,0.08,0.08,0.08,0.08,235817
01-Nov-20,0.08,0.08,0.08,0.08,134474
31-Oct-20,0.08,0.08,0.08,0.08,256424
30-Oct-20,0.08,0.08,0.08,0.08,531819
29-Oct-20,0.08,0.09,0.08,0.08,1100983
28-Oct-20,0.08,0.08,0.08,0.08,517059
27-Oct-20,0.08,0.08,0.08,0.08,246549
26-Oct-20,0.08,0.08,0.08,0.08,263387
25-Oct-20,0.08,0.09,0.08,0.08,188628
24-Oct-20,0.08,0.09,0.08,0.08,382722
23-Oct-20,0.08,0.09,0.08,0.08,418459
22-Oct-20,0.08,0.08,0.08,0.08,363505
21-Oct-20,0.08,0.09,0.08,0.08,574328
20-Oct-20,0.09,0.09,0.08,0.08,1204595
19-Oct-20,0.1,0.11,0.09,0.09,2181530
18-Oct-20,0.1,0.1,0.09,0.1,591363
17-Oct-20,0.1,0.1,0.09,0.1,302357
16-Oct-20,0.1,0.1,0.09,0.1,1313082
15-Oct-20,0.09,0.1,0.09,0.1,1880785
14-Oct-20,0.09,0.09,0.09,0.09,546187
13-Oct-20,0.09,0.09,0.09,0.09,526094
12-Oct-20,0.09,0.09,0.09,0.09,727102
11-Oct-20,0.09,0.1,0.09,0.09,814100
10-Oct-20,0.09,0.1,0.09,0.09,818141
09-Oct-20,0.09,0.1,0.09,0.09,974929
08-Oct-20,0.09,0.09,0.09,0.09,807129
07-Oct-20,0.09,0.09,0.08,0.09,497408
06-Oct-20,0.08,0.09,0.08,0.08,647403
05-Oct-20,0.08,0.09,0.08,0.08,640122
04-Oct-20,0.08,0.08,0.08,0.08,488843
03-Oct-20,0.08,0.08,0.08,0.08,487379
02-Oct-20,0.09,0.09,0.08,0.08,593935
01-Oct-20,0.09,0.09,0.08,0.09,549564
30-Sep-20,0.09,0.09,0.09,0.09,455920
29-Sep-20,0.09,0.09,0.09,0.09,491591
28-Sep-20,0.09,0.09,0.09,0.09,530337
27-Sep-20,0.09,0.09,0.09,0.09,585216
26-Sep-20,0.09,0.09,0.09,0.09,488388
25-Sep-20,0.09,0.09,0.08,0.09,572206
24-Sep-20,0.08,0.09,0.08,0.09,524898
23-Sep-20,0.09,0.09,0.08,0.08,536699
22-Sep-20,0.09,0.09,0.08,0.09,446441
21-Sep-20,0.1,0.1,0.08,0.09,700511
20-Sep-20,0.09,0.1,0.09,0.1,655545
19-Sep-20,0.09,0.1,0.09,0.09,660060
18-Sep-20,0.09,0.09,0.09,0.09,596358
17-Sep-20,0.09,0.09,0.09,0.09,728362
16-Sep-20,0.09,0.09,0.09,0.09,806014
15-Sep-20,0.1,0.1,0.09,0.09,1024225
14-Sep-20,0.1,0.1,0.09,0.1,859899
13-Sep-20,0.1,0.1,0.09,0.1,1534207
12-Sep-20,0.1,0.1,0.1,0.1,1217206
11-Sep-20,0.11,0.11,0.1,0.1,2412453
10-Sep-20,0.09,0.12,0.09,0.12,7448653
09-Sep-20,0.09,0.09,0.08,0.09,644782
08-Sep-20,0.08,0.09,0.08,0.09,831329
07-Sep-20,0.08,0.09,0.08,0.08,574303
06-Sep-20,0.08,0.08,0.07,0.08,702310
05-Sep-20,0.09,0.09,0.08,0.08,686371
04-Sep-20,0.08,0.09,0.08,0.09,953270
03-Sep-20,0.1,0.1,0.08,0.08,844887
02-Sep-20,0.11,0.11,0.1,0.1,816097
01-Sep-20,0.11,0.11,0.1,0.1,809818
31-Aug-20,0.11,0.11,0.1,0.11,822038
30-Aug-20,0.11,0.11,0.11,0.11,1036904
29-Aug-20,0.11,0.11,0.1,0.11,1517900
28-Aug-20,0.1,0.11,0.1,0.11,910125
27-Aug-20,0.11,0.11,0.1,0.1,1169825
26-Aug-20,0.11,0.11,0.11,0.11,1149636
25-Aug-20,0.12,0.12,0.11,0.11,1386664
24-Aug-20,0.11,0.12,0.11,0.12,1655269
23-Aug-20,0.12,0.12,0.11,0.11,1391178
22-Aug-20,0.11,0.12,0.11,0.12,2236275
21-Aug-20,0.11,0.11,0.11,0.11,2352403
20-Aug-20,0.11,0.11,0.11,0.11,1580378
