Date,Open,High,Low,Close,Volume
18-Dec-20,0.01,0.01,0.01,0.01,5599454
17-Dec-20,0.01,0.01,0.01,0.01,4979842
16-Dec-20,0.01,0.01,0.01,0.01,4054698
15-Dec-20,0.01,0.01,0.01,0.01,3244940
14-Dec-20,0.01,0.01,0.01,0.01,1212729
13-Dec-20,0.01,0.01,0.01,0.01,1186297
12-Dec-20,0.01,0.01,0.01,0.01,1339283
11-Dec-20,0.01,0.01,0.01,0.01,1160421
10-Dec-20,0.01,0.01,0.01,0.01,1470157
09-Dec-20,0.01,0.01,0.01,0.01,1271234
08-Dec-20,0.01,0.01,0.01,0.01,1214628
07-Dec-20,0.01,0.01,0.01,0.01,1331569
06-Dec-20,0.01,0.01,0.01,0.01,1404618
05-Dec-20,0.01,0.01,0.01,0.01,1223333
04-Dec-20,0.01,0.01,0.01,0.01,1423173
03-Dec-20,0.01,0.01,0.01,0.01,1420046
02-Dec-20,0.01,0.01,0.01,0.01,1018367
01-Dec-20,0.01,0.01,0.01,0.01,1168029
30-Nov-20,0.01,0.01,0.01,0.01,1121361
29-Nov-20,0.01,0.01,0.01,0.01,993672
28-Nov-20,0.01,0.01,0.01,0.01,1030111
27-Nov-20,0.01,0.01,0.01,0.01,1020195
26-Nov-20,0.01,0.01,0.01,0.01,1163988
25-Nov-20,0.01,0.01,0.01,0.01,915333
24-Nov-20,0.01,0.01,0.01,0.01,765481
23-Nov-20,0.01,0.01,0.01,0.01,255432
22-Nov-20,0.01,0.01,0.01,0.01,198527
21-Nov-20,0.01,0.01,0.01,0.01,267610
20-Nov-20,0.01,0.01,0.01,0.01,337394
19-Nov-20,0.01,0.01,0.01,0.01,315168
18-Nov-20,0.01,0.01,0.01,0.01,336322
17-Nov-20,0.01,0.01,0.01,0.01,346958
16-Nov-20,0.01,0.01,0.01,0.01,293086
15-Nov-20,0.01,0.01,0.01,0.01,276504
14-Nov-20,0.01,0.01,0.01,0.01,343763
13-Nov-20,0.01,0.01,0.01,0.01,373755
12-Nov-20,0.01,0.01,0.01,0.01,358685
11-Nov-20,0.01,0.01,0.01,0.01,374787
10-Nov-20,0.01,0.01,0.01,0.01,388243
09-Nov-20,0.01,0.01,0.01,0.01,292759
08-Nov-20,0.01,0.01,0.01,0.01,290715
07-Nov-20,0.01,0.01,0.01,0.01,294953
06-Nov-20,0.01,0.01,0.01,0.01,298275
05-Nov-20,0.01,0.01,0.01,0.01,386962
04-Nov-20,0.01,0.01,0.01,0.01,389464
03-Nov-20,0.01,0.01,0.01,0.01,410948
02-Nov-20,0.01,0.01,0.01,0.01,394217
01-Nov-20,0.01,0.01,0.01,0.01,381288
31-Oct-20,0.01,0.01,0.01,0.01,389994
30-Oct-20,0.01,0.01,0.01,0.01,394911
29-Oct-20,0.01,0.01,0.01,0.01,442348
28-Oct-20,0.01,0.01,0.01,0.01,257591
27-Oct-20,0.01,0.01,0.01,0.01,301530
26-Oct-20,0.01,0.01,0.01,0.01,369573
25-Oct-20,0.01,0.01,0.01,0.01,377245
24-Oct-20,0.01,0.01,0.01,0.01,354641
23-Oct-20,0.01,0.01,0.01,0.01,304493
22-Oct-20,0.01,0.01,0.01,0.01,319177
21-Oct-20,0.01,0.01,0.01,0.01,411759
20-Oct-20,0.01,0.01,0.01,0.01,381227
19-Oct-20,0.01,0.01,0.01,0.01,299395
18-Oct-20,0.01,0.01,0.01,0.01,316063
17-Oct-20,0.01,0.01,0.01,0.01,364390
16-Oct-20,0.01,0.01,0.01,0.01,262264
15-Oct-20,0.01,0.01,0.01,0.01,375554
14-Oct-20,0.01,0.01,0.01,0.01,371748
13-Oct-20,0.01,0.01,0.01,0.01,401744
12-Oct-20,0.01,0.01,0.01,0.01,331254
11-Oct-20,0.01,0.01,0.01,0.01,333827
10-Oct-20,0.01,0.01,0.01,0.01,335677
09-Oct-20,0.01,0.01,0.01,0.01,303585
08-Oct-20,0.01,0.01,0.01,0.01,359939
07-Oct-20,0.01,0.01,0.01,0.01,379025
06-Oct-20,0.01,0.01,0.01,0.01,361516
05-Oct-20,0.01,0.01,0.01,0.01,400801
04-Oct-20,0.01,0.01,0.01,0.01,430066
03-Oct-20,0.01,0.01,0.01,0.01,486196
02-Oct-20,0.01,0.01,0.01,0.01,426134
01-Oct-20,0.01,0.01,0.01,0.01,446124
30-Sep-20,0.01,0.01,0.01,0.01,462021
